id_tweet,ironic,depends_image,depends_link,depends_retweet,text
622704844894261248,True,True,False,False,
603250149343637505,True,False,False,False,@Femenina1025  Noel Gallagher plagiando a los 4 maestros de liverpool. casi no se nota que copió Hey Jude #sarcasmo
618150068244344832,True,False,False,False,Biiieen tengo 4 paginas de tarea de Ingles 👍... #Sarcasmo !!!
610380877575680000,True,False,False,False,"dando_guerra_97 :""Yo mañana tení q hacer selectividad gracias José Andrés y verónica por suspenderme #ironia #modoon muriendo de rabia"" Lo …"
610911004688384000,True,False,False,False,"Yuhuuuu, me ha tocado contra Ekko, que maravilla, me encanta.
#Ironía #VoyConAkali #EkkoEstáRoto #LeagueOfLegends."
603217644565692416,True,False,False,False,"Que bonita sensación esa de llegar a mi casa y que mi perra me chupe los pies

#ironía"
611224621271130112,True,False,False,False,
606760971307220992,True,False,False,False,"Buen día para ir a rendir eh, ni el clima ayuda! #Ironia #ViernesDeHumedad @todonoticias"
615263661293240320,True,False,False,False,Aun ni es lunes y ya la semana es candidata a semana del año. #Ironia
616556984054231040,True,True,True,True,
617972236478230528,True,False,False,False,
608343071210799104,True,False,False,True,@Juliowiter Eso en España no pasaría nunca. #Ironía
609879889680969728,True,False,False,False,Bueno asta aqui mi sabado diver! #ironia
615540551757246464,True,False,False,False,Parece que hace frio #IRONIA 😂
622580168465383424,True,False,False,False,
608290796731777025,True,False,False,False,"Llegar del instituto y tener que trabajar en una oficina 2 horas más y sin comer .
Estoy muy feliz con mi estilo de vida #SARCASMO"
616026523003420673,True,False,False,True,@Ceciliadamian17 Es que soy fiel seguidor de masturchef #Ironia #Postu
606506524471623681,True,True,False,False,Que monton de gente en esa manifestación ahi no cabe un alfiler jajajaj #Sarcasmo  https://t.co/K7jRfAZ6bN
615764199893962752,True,True,False,False,
628189710733692928,True,False,False,False,
623054425830129664,True,False,False,False,"Después de media hora intentándolo, por fin se ha abierto el Word. Qué bien me va el portátil últimamente. #Ironía"
606513879527620611,True,False,False,False,
621061472056135680,True,True,False,True,@Marcelangaz @Emprende_Club eso es fácil y le queda a uno un resto de tiempo #sarcasmo
614801056304902145,True,False,False,False,#ironia le quite todas la aplicaciones al tlf de ahorrador de bateria limpieza rapidez y cuanta verga dicen y el tlf funciona mejor
615428703078625280,True,True,True,False,
608502480935223296,True,False,False,False,
631506826241175552,True,False,False,False,Me encanta como me tratan 👌😌 #ironia
615838023629062144,True,False,False,False,"Con lo que me gusta a mi callarme, y lo que odio despotricar, esta #LeyMordaza va conmigo. #ironia"
621380938597924864,True,True,False,False,Como se la pasa viajando.  https://t.co/XIlqFM0Hu0
622436397199159296,True,False,False,False,
621674727854096384,True,False,False,False,Me encanta madrugar... Es lo mejor que puedes hacer con tu vida... #Sarcasmo
620595301095743488,True,False,False,False,
618455721529597952,True,False,False,False,"— ¿Bueno, y quiénes iban a secuestrar a @trinomonero? 
— Pues unos pinches monos bien malandros. 
#Ironía"
618776872101498880,True,False,False,False,
613821565701066761,True,False,False,True,@davidauryn ¿Tu nervioso? Nunca#Ironia #LaVozFinal #AurynEnLaVoz
619961290035957762,True,False,False,False,"Nadie puede cagarla como yo, soy mi ídola! #sarcasmo"
614838011000397824,True,False,False,False,Esa futura licenciada es una perla. #Sarcasmo
623968241396916224,True,False,False,False,"Bravo! El paralelo en 640 Bs, y subiendo!!! Vamos buenísimo!!!!! #sarcasmo"
616026079208316928,True,False,False,True,
612819157436882944,True,False,False,False,Esos vistos que enamoran #Sarcasmo
615357153855975424,True,True,True,False,Extendieron las primarias del Psuv hasta las 10 pm por este gentío en las colas #SARCASMO http://t.co/z73c4E08fA
619058768714813440,True,False,False,False,
619019037050314752,True,True,False,True,@PaisMadridista me gustan estas declaraciones totalmente contrastadas y documentadas #Ironia
608657619268562944,True,False,True,False,
618820504946782208,True,False,False,False,"EL CUERPO HUMANO ES FANTASTICO!
Respiras oxigeno y exhalas #Sarcasmo
#FelizMiercoles"
602239713244815360,True,False,False,False,
623209323410399233,True,False,False,False,Parece que el precio actual de la canasta básica no le afecta a nadie..! #sarcasmo #vamosbien
606283879742341122,True,False,False,False,Que lindo tener fisiología mañana 😜 #Ironia
620958893288595456,True,False,True,False,"Me encantaaa, me encantaaa todooo. #IRONIA. http://t.co/OxtKUFWvgb"
614406410256916480,True,False,False,False,Me encantan los cambios de planes #Ironía
621521104587366401,True,False,False,False,Estoy tan feliz con mi nacido uff 😀 #sarcasmo
617902324988702720,True,False,False,False,"Definitivamente necesito un novio , sisi lo necesito. #Sarcasmo"
620656865370894341,True,False,False,False,Qué noticion el papa habla del proceso de paz... Nos hemos salvado #Sarcasmo
616341551430549504,True,False,False,False,"Digamos sí a la #LeySeguridadCiudadanaSI . 

Por un mundo más seguro y libre.
Por un mundo más fascista. 
#sarcasmo"
612722918691336192,True,False,False,False,Viva el espíritu de compañerismo de Luis Mariano!!! #sarcasmo Animo @alfonsoandres71 @JrJesinoa @barbudito64 #losvendedores vosotros podéis.
628300612397088768,True,False,False,True,@instagram que bien va la app 👌 #ironía
613120191589941248,True,False,False,False,#MiProblemaEs que dicen pensar en paz mientras hacen actos bélicos Eso es actuar con #Ironía #EsaMentiraYaLaHeEscuchado #NoLesCreoALasFARC
623192163321573376,True,False,False,False,Que verano tan emocionante estoy viviendo de verdad #IRONIA
609846118357164032,True,False,False,False,Me sorprende lo buena nota que es la gente (: #sarcasmo por mil😒
621352554157334528,True,False,False,False,@Yeeisol si no lo quieres les das mi numero #sarcasmo
618110390061371393,True,False,False,False,La educación en Venezuela esta frenada. ¡Que grande esta Revolucion! #Ironia.
611315106073280514,True,False,False,True,"@JessicaTangP @mayra260992 @Soy_HaAshFan no, por eso tengo toda la información!!! #Casual #Sarcasmo"
607833161490415616,True,False,False,False,
615808390527254528,True,False,False,True,@juancarNavacerr no creo... si Torres esta deseando salir... #IRONIA
620382630127775744,True,False,False,False,"Vaya noche 😍 
#sarcasmo#on"
627037661543440385,True,False,False,False,Las cosas van en el Ayuntamiento tan bien como siempre :) #Ironía
608324171119108097,True,False,False,False,Después de la tormenta vendrá la tranquilidad..👌 buenas tardes y tan buenas #ironia#on
604763394240094208,True,False,False,False,No se si destacar los pitos cuando ha sonado el himno o el espectáculo del minuto 88. Que bonito es el fútbol y que poco se aprende. #Ironía
615881063081070592,True,False,False,False,Mañana los Oscars en pleno Madrid #ironia #yavereis #muygraciosotodo
622968620394676224,True,False,False,False,Que puta casualidad eh #Sarcasmo
621726097386778628,True,False,False,False,Phobos se va a morir... Qué agradable #sarcasmo
618216571970953217,True,False,False,False,"Y se va la luz, viva Venezuela.. Viva Maduro y Chavez por siempre. #Sarcasmo"
611301059823312897,True,False,False,False,Qué cojones le veis a este chaval??!!! Das una patada y te salen 4000000 andaluses iguales....olé parmaderrio #ironía #EresLaVoz
628731672880508928,True,False,False,False,via @LopezAnell:  @aca_pella trabajan de 8:00 a.m. a 5:00 p.m. Y SIN LLUVIA. #sarcasmo
606970893974302720,True,False,False,False,"No hay nada mas sexy que ver a una mujer comiendo mandarina en el bus, en serio NADA MAS SEXY!!!
#Sarcasmo"
622745579320381440,True,False,False,False,No me salen todas las notificaciones .. Que genial ! #Ironía
622158453994332161,True,True,False,True,@antena3com bueno está.  Podria estar entre las 100000 mejores del universo. #ironía
615449707783938048,True,True,False,False,
622088174236499968,True,True,False,False,No me había percatado de ello #ironia #putocalor https://t.co/4hzeTrW4Od
602938065175326723,True,True,False,False,Jenny seduciendo 💞💞 👇👇👇 — Si eh... Con mi cuerpazo 😂😂 #Ironía http://t.co/Cy6rCwjuIh
631368786055139328,True,False,False,False,Madrugar para esto.Empieza bien el dia si. #Ironia
608729620012257281,True,False,False,False,Qué buena gente los #TaxistasCR #sarcasmo
619029941972119552,True,False,False,False,Qué bonito es estar de este lado del zurqui #sarcasmo
610539319296700416,True,False,False,False,
607581614193930241,True,True,False,False,"Mañana a trabajar, que bien... De vuelta a madrid. #valencia #summer #finde #ironia https://t.co/LsRYlo6OY2"
605138294054232064,True,False,False,False,Que ganitas de mañana #ironía #muchaironía
611124208127606784,True,False,False,False,Q suerteee tener q ir hasta Jerez pa saber la nota d un examennnnn 😁 #ironia #putavida #vladimir
628407353667260416,True,False,False,False,
616056804653576197,True,False,False,False,"Ahora no es solo una, sino dos canciones que no salen de mi cabeza. Genial! #Sarcasmo"
604751713233420289,True,False,False,False,Estic segur que el pròxim Puta Barça Puta Catalunya al Bernabéu també serà sancionat pel govern espanyol #ironia
620283178612191232,True,False,False,False,
611341208833683457,True,False,False,False,
615523750637891584,True,True,False,False,Extendieron las primarias del Psuv hasta las 10 pm por este gentío en las colas #SARCASMO http://t.co/tiFIqXf8bB vía @la_patilla
618433628037644288,True,False,False,False,
612019534724231170,True,False,False,False,No hay hombres buenos ni hombres malos #ironía
603227159390367744,True,False,False,False,
611828763152764928,True,False,False,False,Es muy razonable descalificar la República Catalana sin plantearse qué es lo que ha podido llevar a esta situación. #ironía
620391260063465472,True,False,False,False,
615449717577662464,True,True,True,False,
604270246107713536,True,False,False,True,@karsojo Pero ellos no lo sabian  #Sarcasmo jjajajajaj  @AlvaroUribeVel
605786769322213379,True,False,False,False,Blatter renuncia a la FIFA tras cinco mandatos seguidos. Que raro si el era bueno! #Sarcasmo #fifa #NoMeLoVeiaVenir
631448624405311488,True,True,False,False,"Con @NoloNefer4 o uno que yo conozco con bigote, esto no pasa... #ironía #puedepasaracualquiera  https://t.co/Z02iKO2uyj"
609873531250298881,True,False,False,False,
602901346845630464,True,False,False,False,"Que me quiten una muela el jueves pasado y hoy tenga anginas, voy super motivado a trabajar #Ironia"
608302148238082049,True,False,False,False,"Sin luz, sin agua que belleza vivir en #Machala... #sarcasmo Mode On 😡😕😒"
620224597233897472,True,False,False,True,
606389971268829184,True,False,False,False,"Estudiar fisica y quimica es tan divertido...

#Ironia"
